ligand,receptor,species,type
RSPO3,LRP6,Human,LRDB
WNT2,LRP6,Human,LRDB
WNT9B,LRP6,Human,LRDB
CCN2,LRP6,Human,LRDB
SOST,LRP6,Human,LRDB
APP,LRP6,Human,LRDB
CKLF,LRP6,Human,LRDB
WNT5A,LRP6,Human,LRDB
DKK1,LRP6,Human,LRDB
WNT7A,LRP6,Human,LRDB
DKK2,LRP6,Human,LRDB
WNT3A,LRP6,Human,LRDB
DSC3,DSG2,Human,LRDB
DSC2,DSG2,Human,LRDB
TNFSF13B,TNFRSF13B,Human,LRDB
TNFSF13,TNFRSF13B,Human,LRDB
SAA1,SCARB1,Human,LRDB
PDGFC,PDGFRB,Human,LRDB
PDGFB,PDGFRB,Human,LRDB
PDGFD,PDGFRB,Human,LRDB
MFGE8,PDGFRB,Human,LRDB
PDGFA,PDGFRB,Human,LRDB
PDGFC,FLT4,Human,LRDB
VEGFC,FLT4,Human,LRDB
TNF,FLT4,Human,LRDB
VEGFD,FLT4,Human,LRDB
COL1A2,FLT4,Human,LRDB
FN1,FLT4,Human,LRDB
ADCYAP1,VIPR2,Human,LRDB
VIP,VIPR2,Human,LRDB
LGALS3BP,CD33,Human,LRDB
IL12A,IL12RB2,Human,LRDB
ASIP,MGRN1,Human,LRDB
F2,ITGA2B,Human,LRDB
ICAM4,ITGA2B,Human,LRDB
CALR,ITGA2B,Human,LRDB
FGG,ITGA2B,Human,LRDB
FGA,ITGA2B,Human,LRDB
COL2A1,ITGA2B,Human,LRDB
FGB,ITGA2B,Human,LRDB
COL1A2,ITGA2B,Human,LRDB
FN1,ITGA2B,Human,LRDB
GCG,GLP2R,Human,LRDB
CALM1,GLP2R,Human,LRDB
SEMA6D,TYROBP,Human,LRDB
CALM2,TRPC5,Human,LRDB
CALM1,TRPC5,Human,LRDB
CALM3,TRPC5,Human,LRDB
CALM1,KCNN4,Human,LRDB
ASIP,ATRN,Human,LRDB
CALR,SCARF1,Human,LRDB
ARF1,PLD2,Human,LRDB
EGF,PLD2,Human,LRDB
CRISP3,A1BG,Human,LRDB
HRAS,GRIN2D,Human,LRDB
IL16,GRIN2D,Human,LRDB
HSPA1A,GRIN2D,Human,LRDB
IL27,IL27RA,Human,LRDB
DLK1,NOTCH3,Human,LRDB
DLL1,NOTCH3,Human,LRDB
PSEN1,NOTCH3,Human,LRDB
THBS2,NOTCH3,Human,LRDB
SCGB3A1,NOTCH3,Human,LRDB
JAG2,NOTCH3,Human,LRDB
CTF1,LIFR,Human,LRDB
CLCF1,LIFR,Human,LRDB
CNTF,LIFR,Human,LRDB
APP,APLP2,Human,LRDB
HLA-A,APLP2,Human,LRDB
PCSK9,APLP2,Human,LRDB
INHBC,ACVR1,Human,LRDB
BMP7,ACVR1,Human,LRDB
INHBB,ACVR1,Human,LRDB
GDF2,ACVR1,Human,LRDB
BMP2,ACVR1,Human,LRDB
BMP6,ACVR1,Human,LRDB
GDF5,ACVR1,Human,LRDB
TGFB2,ACVR1,Human,LRDB
GPC3,CD81,Human,LRDB
CD99,CD81,Human,LRDB
VCAN,SELP,Human,LRDB
CD34,SELP,Human,LRDB
SERPING1,SELP,Human,LRDB
CD24,SELP,Human,LRDB
GAS6,TYRO3,Human,LRDB
PROS1,TYRO3,Human,LRDB
VEGFA,TYRO3,Human,LRDB
MDK,LRP2,Human,LRDB
PLAU,LRP2,Human,LRDB
LRPAP1,LRP2,Human,LRDB
ARPC5,LRP2,Human,LRDB
AGT,LRP2,Human,LRDB
GC,LRP2,Human,LRDB
AVP,LRP2,Human,LRDB
ALB,LRP2,Human,LRDB
APOA2,LRP2,Human,LRDB
AGRN,LRP2,Human,LRDB
GPC3,LRP2,Human,LRDB
TF,LRP2,Human,LRDB
INS,LRP2,Human,LRDB
LPA,LRP2,Human,LRDB
APOA4,LRP2,Human,LRDB
EGF,LRP2,Human,LRDB
CUBN,LRP2,Human,LRDB
HSPA8,LRP2,Human,LRDB
SCGB1A1,LRP2,Human,LRDB
APOC2,LRP2,Human,LRDB
HSPG2,LRP2,Human,LRDB
LPL,LRP2,Human,LRDB
WNT5A,LRP2,Human,LRDB
SHH,LRP2,Human,LRDB
LCN2,LRP2,Human,LRDB
ACTR2,LRP2,Human,LRDB
LEP,LRP2,Human,LRDB
PDGFC,KDR,Human,LRDB
VEGFC,KDR,Human,LRDB
GREM1,KDR,Human,LRDB
VEGFD,KDR,Human,LRDB
TIMP3,KDR,Human,LRDB
SEMA6D,KDR,Human,LRDB
CXCL8,KDR,Human,LRDB
COL18A1,KDR,Human,LRDB
VEGFA,KDR,Human,LRDB
TNFSF12,TNFRSF8,Human,LRDB
AFDN,NECTIN1,Human,LRDB
WNT5A,MCAM,Human,LRDB
LAMA1,GPC1,Human,LRDB
TDGF1,GPC1,Human,LRDB
BMP2,GPC1,Human,LRDB
SLIT1,GPC1,Human,LRDB
NRG1,GPC1,Human,LRDB
APP,GPC1,Human,LRDB
SERPINC1,GPC1,Human,LRDB
COL18A1,GPC1,Human,LRDB
SLIT2,GPC1,Human,LRDB
SHH,GPC1,Human,LRDB
VEGFA,GPC1,Human,LRDB
CD274,CD80,Human,LRDB
IL1F10,IL1RL2,Human,LRDB
IL18,IL1RL2,Human,LRDB
IL18,IL18RAP,Human,LRDB
RTN4,CNTNAP1,Human,LRDB
TNC,ITGA9,Human,LRDB
VEGFC,ITGA9,Human,LRDB
ADAM2,ITGA9,Human,LRDB
PLG,ITGA9,Human,LRDB
SPP1,ITGA9,Human,LRDB
F13A1,ITGA9,Human,LRDB
VEGFD,ITGA9,Human,LRDB
ADAM12,ITGA9,Human,LRDB
VCAM1,ITGA9,Human,LRDB
TGM2,ITGA9,Human,LRDB
VEGFA,ITGA9,Human,LRDB
CSF2,ITGA9,Human,LRDB
ADAM15,ITGA9,Human,LRDB
FN1,ITGA9,Human,LRDB
NPPC,NPR3,Human,LRDB
NPPB,NPR3,Human,LRDB
OSTN,NPR3,Human,LRDB
VIP,NPR3,Human,LRDB
NPPA,NPR3,Human,LRDB
AGT,ENPEP,Human,LRDB
VEGFB,NRP1,Human,LRDB
SEMA3D,NRP1,Human,LRDB
SEMA3B,NRP1,Human,LRDB
PGF,NRP1,Human,LRDB
SEMA3E,NRP1,Human,LRDB
SEMA4A,NRP1,Human,LRDB
FGF1,NRP1,Human,LRDB
CNTN2,NRP1,Human,LRDB
VEGFA,NRP1,Human,LRDB
FGF7,NRP1,Human,LRDB
NXPH1,NRXN2,Human,LRDB
NLGN2,NRXN2,Human,LRDB
NXPH3,NRXN2,Human,LRDB
AFDN,NRXN2,Human,LRDB
NLGN1,NRXN2,Human,LRDB
NLGN3,NRXN2,Human,LRDB
PDYN,OPRK1,Human,LRDB
POMC,OPRK1,Human,LRDB
PENK,OPRK1,Human,LRDB
CALM2,CACNA1C,Human,LRDB
NCAM1,CACNA1C,Human,LRDB
RIMS1,CACNA1C,Human,LRDB
CALM1,CACNA1C,Human,LRDB
CALM3,CACNA1C,Human,LRDB
RSPO2,LGR5,Human,LRDB
RSPO3,LGR5,Human,LRDB
RSPO1,LGR5,Human,LRDB
WNT3A,LGR5,Human,LRDB
VCAM1,ITGB7,Human,LRDB
FN1,ITGB7,Human,LRDB
NRG3,ERBB3,Human,LRDB
NRG1,ERBB3,Human,LRDB
AREG,ERBB3,Human,LRDB
L1CAM,ERBB3,Human,LRDB
TGFA,ERBB3,Human,LRDB
NRG2,ERBB3,Human,LRDB
BTC,ERBB3,Human,LRDB
SCGB1A1,LMBR1L,Human,LRDB
SST,SSTR1,Human,LRDB
CORT,SSTR1,Human,LRDB
GPC3,IGF1R,Human,LRDB
INS,IGF1R,Human,LRDB
IGF2,IGF1R,Human,LRDB
GNAI2,IGF1R,Human,LRDB
IGF1,IGF1R,Human,LRDB
CAMP,IGF1R,Human,LRDB
HSP90B1,ASGR1,Human,LRDB
HP,ASGR1,Human,LRDB
S100A4,ERBB2,Human,LRDB
NRG3,ERBB2,Human,LRDB
SEMA4D,ERBB2,Human,LRDB
NRG1,ERBB2,Human,LRDB
HLA-A,ERBB2,Human,LRDB
NRG4,ERBB2,Human,LRDB
HSP90B1,ERBB2,Human,LRDB
L1CAM,ERBB2,Human,LRDB
TGFA,ERBB2,Human,LRDB
NRG2,ERBB2,Human,LRDB
HSP90AA1,ERBB2,Human,LRDB
BTC,ERBB2,Human,LRDB
IFNW1,IFNAR1,Human,LRDB
IFNA16,IFNAR1,Human,LRDB
IFNA14,IFNAR1,Human,LRDB
IFNA17,IFNAR1,Human,LRDB
IFNA4,IFNAR1,Human,LRDB
IFNA13,IFNAR1,Human,LRDB
IFNA5,IFNAR1,Human,LRDB
IFNA1,IFNAR1,Human,LRDB
IFNB1,IFNAR1,Human,LRDB
IFNA6,IFNAR1,Human,LRDB
IFNA10,IFNAR1,Human,LRDB
IFNA8,IFNAR1,Human,LRDB
IFNE,IFNAR1,Human,LRDB
MMP9,IFNAR1,Human,LRDB
IFNA21,IFNAR1,Human,LRDB
IFNA2,IFNAR1,Human,LRDB
IL20,IL22RA1,Human,LRDB
IL22,IL22RA1,Human,LRDB
IL24,IL22RA1,Human,LRDB
TNF,CELSR2,Human,LRDB
SYK,FCGR2A,Human,LRDB
CXCL9,FCGR2A,Human,LRDB
PTPN11,FCRL4,Human,LRDB
PTPN6,FCRL4,Human,LRDB
TFF1,FCRL4,Human,LRDB
PTH,PTH2R,Human,LRDB
PTHLH,PTH2R,Human,LRDB
CALM1,PTH2R,Human,LRDB
CXCL12,ACKR3,Human,LRDB
CXCL11,ACKR3,Human,LRDB
IL31,OSMR,Human,LRDB
NRTN,GFRA3,Human,LRDB
GDNF,GFRA3,Human,LRDB
ARTN,GFRA3,Human,LRDB
BCAN,EGFR,Human,LRDB
S100A4,EGFR,Human,LRDB
ZP3,EGFR,Human,LRDB
NRG1,EGFR,Human,LRDB
AREG,EGFR,Human,LRDB
FGF1,EGFR,Human,LRDB
NRG4,EGFR,Human,LRDB
ANXA1,EGFR,Human,LRDB
L1CAM,EGFR,Human,LRDB
EFEMP1,EGFR,Human,LRDB
FGL1,EGFR,Human,LRDB
TGFA,EGFR,Human,LRDB
ARF4,EGFR,Human,LRDB
GNAI2,EGFR,Human,LRDB
ANG,EGFR,Human,LRDB
FGF13,EGFR,Human,LRDB
GSTP1,EGFR,Human,LRDB
HSP90AA1,EGFR,Human,LRDB
CAMP,EGFR,Human,LRDB
CNTF,EGFR,Human,LRDB
BTC,EGFR,Human,LRDB
CCN2,EGFR,Human,LRDB
LRIG2,EGFR,Human,LRDB
EPGN,EGFR,Human,LRDB
VEGFA,EGFR,Human,LRDB
CALM1,EGFR,Human,LRDB
SPINK1,EGFR,Human,LRDB
CALM3,EGFR,Human,LRDB
EFNA3,EPHA1,Human,LRDB
EFNA1,EPHA1,Human,LRDB
EFNA5,EPHA1,Human,LRDB
EFNA4,EPHA1,Human,LRDB
LIN7C,HTR2C,Human,LRDB
CALM1,HTR2C,Human,LRDB
FASLG,TNFRSF10B,Human,LRDB
NTF4,NTRK2,Human,LRDB
NTF3,NTRK2,Human,LRDB
BDNF,NTRK2,Human,LRDB
DLK1,NOTCH1,Human,LRDB
DLL1,NOTCH1,Human,LRDB
MFNG,NOTCH1,Human,LRDB
PSEN1,NOTCH1,Human,LRDB
TNF,NOTCH1,Human,LRDB
WNT4,NOTCH1,Human,LRDB
DLK2,NOTCH1,Human,LRDB
ADAM17,NOTCH1,Human,LRDB
MFAP5,NOTCH1,Human,LRDB
MFAP2,NOTCH1,Human,LRDB
RBP3,NOTCH1,Human,LRDB
JAG2,NOTCH1,Human,LRDB
NTNG2,LRRC4C,Human,LRDB
NTNG1,LRRC4C,Human,LRDB
PLAU,ST14,Human,LRDB
SPINT1,ST14,Human,LRDB
PDYN,ADRA2A,Human,LRDB
GNAI2,ADRA2A,Human,LRDB
AGT,ADRA2A,Human,LRDB
CXCL12,ADRA2A,Human,LRDB
CXCL3,ADRA2A,Human,LRDB
CCL5,ADRA2A,Human,LRDB
CXCL11,ADRA2A,Human,LRDB
NMS,ADRA2A,Human,LRDB
APLN,ADRA2A,Human,LRDB
SST,ADRA2A,Human,LRDB
INSL5,ADRA2A,Human,LRDB
NPY,ADRA2A,Human,LRDB
CCL25,ADRA2A,Human,LRDB
POMC,ADRA2A,Human,LRDB
SAA1,ADRA2A,Human,LRDB
CXCL8,ADRA2A,Human,LRDB
PYY,ADRA2A,Human,LRDB
CCL16,ADRA2A,Human,LRDB
CXCL2,ADRA2A,Human,LRDB
CXCL13,ADRA2A,Human,LRDB
CXCL10,ADRA2A,Human,LRDB
PPBP,ADRA2A,Human,LRDB
PMCH,ADRA2A,Human,LRDB
CXCL5,ADRA2A,Human,LRDB
CCL19,ADRA2A,Human,LRDB
PNOC,ADRA2A,Human,LRDB
APP,ADRA2A,Human,LRDB
CXCL1,ADRA2A,Human,LRDB
NPB,ADRA2A,Human,LRDB
PPY,ADRA2A,Human,LRDB
CXCL9,ADRA2A,Human,LRDB
CXCL16,ADRA2A,Human,LRDB
CCL20,ADRA2A,Human,LRDB
NPW,ADRA2A,Human,LRDB
PENK,ADRA2A,Human,LRDB
CCL28,ADRA2A,Human,LRDB
RLN3,ADRA2A,Human,LRDB
PF4,ADRA2A,Human,LRDB
CORT,ADRA2A,Human,LRDB
ANXA1,ADRA2A,Human,LRDB
PMCH,MCHR2,Human,LRDB
EFNA3,EPHA4,Human,LRDB
EFNA1,EPHA4,Human,LRDB
EFNA5,EPHA4,Human,LRDB
EFNA4,EPHA4,Human,LRDB
PDGFC,FLT1,Human,LRDB
VEGFC,FLT1,Human,LRDB
PLG,FLT1,Human,LRDB
PGF,FLT1,Human,LRDB
VEGFD,FLT1,Human,LRDB
VEGFB,FLT1,Human,LRDB
VEGFA,FLT1,Human,LRDB
SORBS1,ITGA1,Human,LRDB
COL4A6,ITGA1,Human,LRDB
COL4A5,ITGA1,Human,LRDB
LAMA2,ITGA1,Human,LRDB
LAMA1,ITGA1,Human,LRDB
COL6A1,ITGA1,Human,LRDB
COL4A4,ITGA1,Human,LRDB
COL5A1,ITGA1,Human,LRDB
COL6A2,ITGA1,Human,LRDB
COL4A3,ITGA1,Human,LRDB
COL2A1,ITGA1,Human,LRDB
VEGFD,ITGA1,Human,LRDB
COL6A3,ITGA1,Human,LRDB
COL5A2,ITGA1,Human,LRDB
COL1A2,ITGA1,Human,LRDB
MATN1,ITGA1,Human,LRDB
COL4A1,ITGA1,Human,LRDB
PLA2G10,PLA2R1,Human,LRDB
FBN1,ITGB6,Human,LRDB
FN1,ITGB6,Human,LRDB
FYN,THY1,Human,LRDB
SFTPD,LY96,Human,LRDB
BGN,LY96,Human,LRDB
WNT11,FZD7,Human,LRDB
WNT1,FZD7,Human,LRDB
CSF1,CSF1R,Human,LRDB
CSF2,CSF1R,Human,LRDB
IL34,CSF1R,Human,LRDB
GNAS,ADCY8,Human,LRDB
GNAI2,ADCY8,Human,LRDB
CALM1,ADCY8,Human,LRDB
CALM3,ADCY8,Human,LRDB
WNT4,FZD1,Human,LRDB
WNT7B,FZD1,Human,LRDB
WNT1,FZD1,Human,LRDB
IL25,IL17RB,Human,LRDB
B2M,CD1A,Human,LRDB
GNAS,HTR6,Human,LRDB
IFNL2,IL10RB,Human,LRDB
IL22,IL10RB,Human,LRDB
IFNL1,IL10RB,Human,LRDB
IL10,IL10RB,Human,LRDB
IL24,IL10RB,Human,LRDB
UCN3,IL10RB,Human,LRDB
IFNL3,IL10RB,Human,LRDB
PENK,OGFR,Human,LRDB
PIP,NPTN,Human,LRDB
GPI,AMFR,Human,LRDB
TNFSF13B,TNFRSF13C,Human,LRDB
GHRL,PTGIR,Human,LRDB
GNAS,PTGIR,Human,LRDB
DEFB103B,CCR2,Human,LRDB
CCL11,CCR2,Human,LRDB
DEFB103A,CCR2,Human,LRDB
CCL7,CCR2,Human,LRDB
CCL16,CCR2,Human,LRDB
CCL24,CCR2,Human,LRDB
DEFB106A,CCR2,Human,LRDB
CCL26,CCR2,Human,LRDB
CCL8,CCR2,Human,LRDB
GNAI2,CCR5,Human,LRDB
S100A4,CCR5,Human,LRDB
CCL5,CCR5,Human,LRDB
CCL14,CCR5,Human,LRDB
CCL11,CCR5,Human,LRDB
CCL3,CCR5,Human,LRDB
CCL7,CCR5,Human,LRDB
CCL16,CCR5,Human,LRDB
CCL3L3,CCR5,Human,LRDB
IL16,CCR5,Human,LRDB
CCL4,CCR5,Human,LRDB
CCL8,CCR5,Human,LRDB
MDK,GPC2,Human,LRDB
FGF19,FGFR4,Human,LRDB
FGF21,FGFR4,Human,LRDB
FGF3,FGFR4,Human,LRDB
FGF5,FGFR4,Human,LRDB
FGF14,FGFR4,Human,LRDB
FGF11,FGFR4,Human,LRDB
FGF1,FGFR4,Human,LRDB
FGF17,FGFR4,Human,LRDB
FGF16,FGFR4,Human,LRDB
FGF13,FGFR4,Human,LRDB
FGF12,FGFR4,Human,LRDB
FGF9,FGFR4,Human,LRDB
FGF8,FGFR4,Human,LRDB
IL16,GRIN2C,Human,LRDB
L1CAM,ITGA5,Human,LRDB
PLAU,ITGA5,Human,LRDB
SPP1,ITGA5,Human,LRDB
CCN1,ITGA5,Human,LRDB
FGG,ITGA5,Human,LRDB
FGA,ITGA5,Human,LRDB
VEGFD,ITGA5,Human,LRDB
CCN2,ITGA5,Human,LRDB
FGB,ITGA5,Human,LRDB
FBN1,ITGA5,Human,LRDB
ANGPT1,ITGA5,Human,LRDB
COL18A1,ITGA5,Human,LRDB
ADAM15,ITGA5,Human,LRDB
ADAM17,ITGA5,Human,LRDB
ANGPTL3,ITGA5,Human,LRDB
FN1,ITGA5,Human,LRDB
CORT,SSTR5,Human,LRDB
GNAS,ADCY9,Human,LRDB
GNAI2,ADCY9,Human,LRDB
WNT8A,LRP5,Human,LRDB
SOST,LRP5,Human,LRDB
WNT7B,LRP5,Human,LRDB
WNT8B,LRP5,Human,LRDB
DKK1,LRP5,Human,LRDB
PSEN1,NCSTN,Human,LRDB
CGB5,LHCGR,Human,LRDB
GNAI2,LHCGR,Human,LRDB
CGB3,LHCGR,Human,LRDB
CGA,LHCGR,Human,LRDB
GNAS,LHCGR,Human,LRDB
GAS6,MERTK,Human,LRDB
PROS1,MERTK,Human,LRDB
CCK,CCKAR,Human,LRDB
YARS1,CXCR1,Human,LRDB
GNAI2,CXCR1,Human,LRDB
CXCL3,CXCR1,Human,LRDB
CXCL8,CXCR1,Human,LRDB
CXCL2,CXCR1,Human,LRDB
PPBP,CXCR1,Human,LRDB
CXCL5,CXCR1,Human,LRDB
CXCL1,CXCR1,Human,LRDB
IL17A,IL17RC,Human,LRDB
IL17F,IL17RC,Human,LRDB
FN1,IL17RC,Human,LRDB
CCL5,CCR1,Human,LRDB
CCL14,CCR1,Human,LRDB
CCL3,CCR1,Human,LRDB
CCL15,CCR1,Human,LRDB
CCL23,CCR1,Human,LRDB
CCL7,CCR1,Human,LRDB
CCL16,CCR1,Human,LRDB
CCL4,CCR1,Human,LRDB
CCL26,CCR1,Human,LRDB
CCL8,CCR1,Human,LRDB
CCL18,CCR1,Human,LRDB
PLAU,ITGB5,Human,LRDB
EDIL3,ITGB5,Human,LRDB
SORBS1,ITGB5,Human,LRDB
SPP1,ITGB5,Human,LRDB
TLN1,ITGB5,Human,LRDB
COL4A2,ITGB5,Human,LRDB
CCN1,ITGB5,Human,LRDB
ADAM9,ITGB5,Human,LRDB
COL18A1,ITGB5,Human,LRDB
ITGB3BP,ITGB5,Human,LRDB
LTBP3,ITGB5,Human,LRDB
LTBP1,ITGB5,Human,LRDB
MST1,MST1R,Human,LRDB
SHH,HHIP,Human,LRDB
COL4A6,ITGA2,Human,LRDB
COL4A5,ITGA2,Human,LRDB
LAMA2,ITGA2,Human,LRDB
LAMA1,ITGA2,Human,LRDB
LAMC3,ITGA2,Human,LRDB
COL6A1,ITGA2,Human,LRDB
COL4A4,ITGA2,Human,LRDB
COL11A1,ITGA2,Human,LRDB
COL6A2,ITGA2,Human,LRDB
COL4A3,ITGA2,Human,LRDB
COL2A1,ITGA2,Human,LRDB
VEGFD,ITGA2,Human,LRDB
MMP1,ITGA2,Human,LRDB
HSPG2,ITGA2,Human,LRDB
LAMB3,ITGA2,Human,LRDB
CHAD,ITGA2,Human,LRDB
COL1A2,ITGA2,Human,LRDB
COL4A1,ITGA2,Human,LRDB
FN1,ITGA2,Human,LRDB
COL7A1,ITGA2,Human,LRDB
COL3A1,ITGA2,Human,LRDB
F2,F2RL2,Human,LRDB
PLG,F2RL1,Human,LRDB
F2,F2RL1,Human,LRDB
NUCB2,ERAP1,Human,LRDB
TNF,TNFRSF21,Human,LRDB
IL22,IL22RA2,Human,LRDB
GNAS,ADCY1,Human,LRDB
GNAI2,ADCY1,Human,LRDB
TNFSF11,TNFRSF11B,Human,LRDB
TNFSF13,TNFRSF11B,Human,LRDB
FN1,TNFRSF11B,Human,LRDB
RLN2,RXFP2,Human,LRDB
RLN3,RXFP2,Human,LRDB
INSL3,RXFP2,Human,LRDB
RIMS1,SLC18A2,Human,LRDB
CXCL12,AVPR1A,Human,LRDB
AVP,AVPR1A,Human,LRDB
VIP,AVPR1A,Human,LRDB
FAT4,DCHS1,Human,LRDB
GALP,GALR1,Human,LRDB
NPY,MC4R,Human,LRDB
POMC,MC4R,Human,LRDB
ASIP,MC4R,Human,LRDB
ADM,GPR182,Human,LRDB
B2M,CD3D,Human,LRDB
HLA-A,CD3D,Human,LRDB
HLA-C,CD3D,Human,LRDB
HLA-B,CD3D,Human,LRDB
GAS6,AXL,Human,LRDB
PROS1,AXL,Human,LRDB
C4A,C3AR1,Human,LRDB
PDYN,MTNR1A,Human,LRDB
GNAI2,MTNR1A,Human,LRDB
AGT,MTNR1A,Human,LRDB
CXCL12,MTNR1A,Human,LRDB
CCL5,MTNR1A,Human,LRDB
CXCL11,MTNR1A,Human,LRDB
NMS,MTNR1A,Human,LRDB
APLN,MTNR1A,Human,LRDB
NPY,MTNR1A,Human,LRDB
CCL25,MTNR1A,Human,LRDB
POMC,MTNR1A,Human,LRDB
SAA1,MTNR1A,Human,LRDB
CALR,MTNR1A,Human,LRDB
CXCL8,MTNR1A,Human,LRDB
PYY,MTNR1A,Human,LRDB
CCL16,MTNR1A,Human,LRDB
CXCL2,MTNR1A,Human,LRDB
CXCL10,MTNR1A,Human,LRDB
PMCH,MTNR1A,Human,LRDB
CCL19,MTNR1A,Human,LRDB
CXCL1,MTNR1A,Human,LRDB
NPB,MTNR1A,Human,LRDB
PPY,MTNR1A,Human,LRDB
CXCL9,MTNR1A,Human,LRDB
CCL20,MTNR1A,Human,LRDB
NPW,MTNR1A,Human,LRDB
PENK,MTNR1A,Human,LRDB
CCL28,MTNR1A,Human,LRDB
RLN3,MTNR1A,Human,LRDB
CORT,MTNR1A,Human,LRDB
ANXA1,MTNR1A,Human,LRDB
SPP1,PTGER4,Human,LRDB
TAC1,TACR3,Human,LRDB
TAC3,TACR3,Human,LRDB
TAC4,TACR3,Human,LRDB
GNAS,PTGDR,Human,LRDB
TAC1,TACR1,Human,LRDB
TAC3,TACR1,Human,LRDB
TAC4,TACR1,Human,LRDB
LRPAP1,LRP8,Human,LRDB
RELN,LRP8,Human,LRDB
SORBS1,INSR,Human,LRDB
INS,INSR,Human,LRDB
AHSG,INSR,Human,LRDB
ARF1,INSR,Human,LRDB
GIP,INSR,Human,LRDB
IGF2,INSR,Human,LRDB
HRAS,INSR,Human,LRDB
CALM1,INSR,Human,LRDB
CD86,CTLA4,Human,LRDB
F2,GP9,Human,LRDB
DKK1,KREMEN2,Human,LRDB
SLIT2,ROBO4,Human,LRDB
FN1,ROBO4,Human,LRDB
ACE2,SLC6A19,Human,LRDB
GHRH,ADRB2,Human,LRDB
AVP,ADRB2,Human,LRDB
PTHLH,ADRB2,Human,LRDB
TF,ADRB2,Human,LRDB
POMC,ADRB2,Human,LRDB
RLN2,ADRB2,Human,LRDB
HSPA8,ADRB2,Human,LRDB
ADCYAP1,ADRB2,Human,LRDB
CALCA,ADRB2,Human,LRDB
ADM,ADRB2,Human,LRDB
CGA,ADRB2,Human,LRDB
GCG,ADRB2,Human,LRDB
VIP,ADRB2,Human,LRDB
ADM2,ADRB2,Human,LRDB
NPS,ADRB2,Human,LRDB
FSHB,ADRB2,Human,LRDB
CALCB,ADRB2,Human,LRDB
ACTR2,ADRB2,Human,LRDB
RLN3,ADRB2,Human,LRDB
GIP,ADRB2,Human,LRDB
INSL3,ADRB2,Human,LRDB
GNAI2,S1PR1,Human,LRDB
PDGFB,S1PR1,Human,LRDB
PENK,MRGPRX1,Human,LRDB
NMS,NMUR1,Human,LRDB
CD6,ALCAM,Human,LRDB
S100A9,ALCAM,Human,LRDB
CALM1,GRM5,Human,LRDB
TSLP,IL7R,Human,LRDB
PSAP,GPR37,Human,LRDB
GNAI2,CHRM1,Human,LRDB
LAMA3,SDC2,Human,LRDB
LAMA1,SDC2,Human,LRDB
TNFSF13,SDC2,Human,LRDB
HRAS,SDC2,Human,LRDB
SERPINC1,SDC2,Human,LRDB
FN1,SDC2,Human,LRDB
GNAI2,P2RY12,Human,LRDB
PLAU,MRC2,Human,LRDB
LGALS9,MRC2,Human,LRDB
CER1,MRC2,Human,LRDB
NPY,NPFFR2,Human,LRDB
CALM1,GP6,Human,LRDB
CRISP2,CATSPER1,Human,LRDB
SHBG,GPRC6A,Human,LRDB
XCL1,XCR1,Human,LRDB
XCL2,XCR1,Human,LRDB
CXCL2,XCR1,Human,LRDB
CD200,CD200R1,Human,LRDB
CALM1,AQP1,Human,LRDB
RARRES2,CMKLR1,Human,LRDB
LGALS9,HAVCR2,Human,LRDB
C1QA,CSPG4,Human,LRDB
C4B,CD46,Human,LRDB
IL20,IL20RA,Human,LRDB
IL24,IL20RA,Human,LRDB
IL19,IL20RA,Human,LRDB
EDN2,EDNRA,Human,LRDB
EDN3,EDNRA,Human,LRDB
EDN1,EDNRA,Human,LRDB
HLA-G,LILRB1,Human,LRDB
B2M,LILRB1,Human,LRDB
HLA-A,LILRB1,Human,LRDB
INS,LILRB1,Human,LRDB
HLA-C,LILRB1,Human,LRDB
HLA-B,LILRB1,Human,LRDB
SEMA4A,PLXND1,Human,LRDB
SEMA4D,MET,Human,LRDB
SEMA5A,MET,Human,LRDB
POMC,MC5R,Human,LRDB
ASIP,MC5R,Human,LRDB
TNF,ICOS,Human,LRDB
ICOSLG,ICOS,Human,LRDB
CXCL2,CXCR2,Human,LRDB
CXCL1,CXCR2,Human,LRDB
CD55,ADGRE2,Human,LRDB
GHRH,GHRHR,Human,LRDB
GHRL,GHRHR,Human,LRDB
IL17A,IL17RA,Human,LRDB
IL17F,IL17RA,Human,LRDB
SEMA4B,DCBLD2,Human,LRDB
GHRH,PTH1R,Human,LRDB
AVP,PTH1R,Human,LRDB
PTHLH,PTH1R,Human,LRDB
POMC,PTH1R,Human,LRDB
RLN2,PTH1R,Human,LRDB
ADCYAP1,PTH1R,Human,LRDB
CALCA,PTH1R,Human,LRDB
ADM,PTH1R,Human,LRDB
CGA,PTH1R,Human,LRDB
GCG,PTH1R,Human,LRDB
VIP,PTH1R,Human,LRDB
ADM2,PTH1R,Human,LRDB
NPS,PTH1R,Human,LRDB
FSHB,PTH1R,Human,LRDB
CALCB,PTH1R,Human,LRDB
RLN3,PTH1R,Human,LRDB
GIP,PTH1R,Human,LRDB
INSL3,PTH1R,Human,LRDB
UTS2B,UTS2R,Human,LRDB
PDX1,SLC2A2,Human,LRDB
AVP,OXTR,Human,LRDB
CD86,CD28,Human,LRDB
HLA-A,KIR3DL2,Human,LRDB
HLA-B,KIR3DL2,Human,LRDB
CCL16,CCR8,Human,LRDB
CCL4,CCR8,Human,LRDB
CCL18,CCR8,Human,LRDB
